Code,subcode,Offence description
07305,7305.0,Notifying police with false information as to name or names
07306,7306.0,Notifying police with false information as to home address
07307,7307.0,Abuse of a position of trust: sexual activity with a female child (offender aged 18 or over and victim aged 13 - 17)
07308,7308.0,Abuse of a position of trust: sexual activity with a male child (offender aged 18 or over and victim aged 13 - 17)
07309,7309.0,Abuse of a position of trust: causing or inciting a female child to engage in sexual activity (offender aged 18 or over and victim aged 13 - 17)
07310,7310.0,Abuse of a position of trust: causing or inciting a male child to engage in sexual activity (offender aged 18 or over and victim aged 13 - 17)
07311,7311.0,Abuse of a position of trust: sexual activity in the presence of a child (offender aged 18 or over and victim aged 13 - 17)
07312,7312.0,Abuse of a position of trust: causing a child to watch a sexual act (offender aged 18 or over and victim aged 13 - 17)
07313,7313.0,Abuse of a position of trust: sexual activity with a female child (offender aged 18 or over and victim aged under 13)
07314,7314.0,Abuse of a position of trust: sexual activity with a male child (offender aged 18 or over and victim aged under 13)
07315,7315.0,Abuse of a position of trust: causing or inciting a female child to engage in sexual activity (offender aged 18 or over and victim aged under 13)
07316,7316.0,Abuse of a position of trust: causing or inciting a male child to engage in sexual activity (offender aged 18 or over and victim aged under 13)
07317,7317.0,Abuse of a position of trust: sexual activity in the presence of a child (offender aged 18 or over and victim aged under 13)
07318,7318.0,Abuse of a position of trust: causing a child to watch a sexual act (offender aged 18 or over and victim aged under 13)
07400,7400.0,Gross Indecency with children    [Use this code only if you are unable to determine which subcoded Offence applies]
07401,7401.0,Gross Indecency with children: With boys
07402,7402.0,Gross Indecency with children: With girls
07500,7500.0,"Betting, Gaming and Lotteries    [Use this code only if you are unable to determine which subcoded Offence applies]"
07501,7501.0,"Permitting unlicensed premises to be used, etc, for betting (pool betting etc) (30.6.64-1969)"
07502,7502.0,Accepting bets whilst not being the holder of a permit
07512,7512.0,Restriction of pool betting
07513,7513.0,Restriction of betting on tracks
07515,7515.0,Totalisator on licensed tracks
07519,7519.0,Totalisator operator contravening provisions of Schedule 5 other than paragraph 11(2)
07521,7521.0,Permitting unlicensed premises to be used for pool betting
07522,7522.0,Permitting unlicensed premises to be used etc. for other betting
07523,7523.0,Failing to comply with any term or condition attached to a licence
07524,7524.0,Knowingly or recklessly supplying or making available false information
07531,7531.0,Breach of conditions at non-commercial amusements
07532,7532.0,Breach of conditions at commercial amusements
07533,7533.0,In connection with betting and lotteries
07534,7534.0,Use of machines at non-commercial entertainments - Section 33
07535,7535.0,Other uses of machines for amusement purposes - Section 34
07539,7539.0,Cheating at gambling or enabling or assisting person to cheat
07540,7540.0,Unlawful gaming - charge made. Levy on stakes or winnings
07541,7541.0,Gaming (a) when not present on premises or (b) on behalf of another person not present on the premises
07542,7542.0,"Non-member, holder of licence participating in gaming"
07543,7543.0,Club or miners' welfare institute registered under this part of this Act. Non-member etc participating in gaming.(Not bona fide guest if payment made to obtain access)
07544,7544.0,Where one or more of the conditions specified in Section 2(1) are fulfilled. Restrictions on games to be played - Regulations
07545,7545.0,Charges for taking part in gaming - Regulations. Particulars of charges to be displayed on premises have not less than 14 days before which charge is made been notified to the licensing authority etc.
07546,7546.0,Levy on stake or winnings - Regulations
07547,7547.0,Provision of credit for gaming
07548,7548.0,Exclusion of person under 18 years of age
07549,7549.0,Gaming on Sunday between prohibited hours
07550,7550.0,Performing function at gaming without certificate issued by the Gaming Board
07551,7551.0,Bingo Clubs - special provisions
07552,7552.0,Breach of regulations of licensed club premises imposing prohibitions or restrictions for preventing contraventions
07553,7553.0,Breach of regulations relating to hours during which gaming is permitted
07554,7554.0,Contravention of restrictions imposed by licensing authority under provisions of paragraph 24 of Schedule 2 - permitted hours of gaming
07555,7555.0,"Contravention of restrictions imposed by licensing authority under provisions of paras.25 and 11, Sch.2 or 3 - limitation of gaming to part(s) of premises, kind of game(s), use of premises other than for gaming"
07556,7556.0,Restrictions on sale or maintenance of machines (S.27); Restrictions as to terms and conditions (S.28); Contravention of provisions of Section 35
07557,7557.0,Use of machines by virtue of licence or registration
07558,7558.0,Gaming at entertainment not held for private gain
07559,7559.0,Restrictions on advertisements relating to gaming
07560,7560.0,Contravention of the regulations as to the promotion of lotteries that form part of the National Lottery
07561,7561.0,False representations as to the National Lottery
07562,7562.0,Wrongful disclosure of information received from HMRC relating to an identifiable person
07600,7600.0,"Suicide (aiding, abetting etc)"
07601,7601.0,Intentionally doing an act capable of encouraging or assisting the suicide or attempted suicide of another
07700,7700.0,Misuse of Drugs    [Use this code only if you are unable to determine which subcoded Offence applies]
07750,7750.0,Manufacturing a scheduled substance
07751,7751.0,Supplying a scheduled substance to another person
07752,7752.0,"Failure to comply with regulations made by the Secretary of State as regards documentation, record keeping, labelling etc."
07753,7753.0,Having a controlled drug in possession on a ship - Class A drug
07754,7754.0,Having a controlled drug in possession on a ship - Class B drug
07755,7755.0,Having a controlled drug in possession on a ship - Class C drug
07756,7756.0,Being knowingly concerned in the carrying or concealing of a controlled drug on a ship - Class A drug
07757,7757.0,Being knowingly concerned in the carrying or concealing of a controlled drug on a ship - Class B drug
07758,7758.0,Being knowingly concerned in the carrying or concealing of a controlled drug on a ship - Class C drug
07759,7759.0,Having a controlled drug in possession on a ship - Class unspecified
07760,7760.0,Being knowingly concerned in the carrying or concealing of a controlled drug on a ship - Class unspecified
07761,7761.0,Operator failing to comply with requirements imposed by Article 3 of Community Regulation (EC) No 273/2004
07762,7762.0,Operator failing to comply with requirements imposed by R.6 - EXPORTS - Controlled Drugs (Drug Precursors) (Community External Trade) Regulations 2008
07763,7763.0,Operator failing to comply with requirements imposed by R7 - IMPORTS - Controlled Drugs (Drug Precursors) (Community External Trade) Regulations 2008
07764,7764.0,Operator failing to comply with requirements imposed by Article 6 or 7 of Community Regulation (EC) No 111/2005 - licensing and registration of operators
07765,7765.0,Possess a drug the subject of a Temporary Class Order on board a ship
07800,7800.0,Immigration Acts    [Use this code only if you are unable to determine which subcoded Offence applies]
07801,7801.0,Knowingly facilitating or assisting the entry of an illegal entrant
07803,7803.0,Immigration Act 1971 Sec. 25  1C as Added by the asylum & Immigration Act 1996 S.5  (IM marker)
07804,7804.0,"Non-British citizen, by means including deception, obtaining or seeking leave to enter or remain in the UK or postponement, avoidance or revocation of enforcement action against him"
07805,7805.0,Providing immigration advice or services in contravention of Section 79 (provision of immigration services) Immigration & Asylum Act 1999 or of Restraining Order
07806,7806.0,Knowingly or recklessly disclosing information under S.93(2) - Immigration & Asylum Act 1999
07807,7807.0,Obtaining benefits or advantage for self or anyone else by making dishonest representations
07808,7808.0,"Disclosure by certain persons employed at detention centres or in accordance with escort arrangements, of information relating to detained persons"
07809,7809.0,Assisting a detained person to escape
07810,7810.0,Assisting unlawful immigration to member state
07811,7811.0,Helping asylum-seeker to enter the UK
07812,7812.0,Assisting entry to UK in breach of deportation order or exclusion order
07813,7813.0,Trafficking in prostitution
07814,7814.0,"Registration Card (making or using or attempting to use a false registration card; altering, using or attempting to use a registration card; making article designed to be used in making false registration card or altering card)."
07815,7815.0,"Registration Card (having false registration card in possession, having article within Para.(f) or (g) in possession without reasonable excuse)"
07816,7816.0,Immigration stamp
07817,7817.0,Being unable to produce an immigration document at a leave or asylum interview in respect of self
07818,7818.0,Being unable to produce an immigration document at a leave or asylum interview in respect of a dependent child
07819,7819.0,Trafficking people into the UK for the purpose of exploitation
07820,7820.0,Trafficking people within the UK for the purpose of exploitation
07821,7821.0,Trafficking people out of the UK for the purpose of exploitation
07822,7822.0,Employing a person subject to immigration control who has attained the age of 16
07823,7823.0,Failure to comply with a requirement to take specialised action as the Secretary of State required.
07824,7824.0,"Employing an person knowing that they are an adult subject to immigration control who has not been granted leave to enter or remain, or whose leave to remain is invalid etc."
07825,7825.0,"Wrongful disclosure of information in breach of SS.15(1), 15(2) or 17(1) (Borders, Citizenship and Immigration Act 2009"
07900,7900.0,Attempting to pervert the course of public justice    [Use this code only if you are unable to determine which subcoded Offence applies]
07901,7901.0,"Attempting to pervert the course of public justice (fabrication of false evidence, causing person to be wrongly convicted, interference with witness)"
07902,7902.0,Intimidating a juror or witness or person assisting in investigation of offence
07903,7903.0,"Harming or threatening to harm a witness, juror or person assisting in investigation"
07904,7904.0,Intimidating or intending to intimidate a witness
07905,7905.0,Harming or intending to harm a witness
07906,7906.0,Member of a jury carry out research during the trial period
07907,7907.0,Member of a jury share research with other jurors
08000,8000.0,Absconding from lawful custody
08001,8001.0,Participating in prison mutiny with or without failing to submit to lawful authority
08002,8002.0,Temporarily released prisoner unlawfully at large
08003,8003.0,Temporarily released prisoner failed to comply with recall
08100,8100.0,Firearms Act 1968 and other Firearms Acts    [Use this code only if you are unable to determine which subcoded Offence applies]
08103,8103.0,Possessing etc. firearms or ammunition without firearm certificate (Group I)
08104,8104.0,Possessing etc. shotgun without certificate (Group II)
08107,8107.0,Trading in firearms without being registered as a firearms dealer (Group I)
08108,8108.0,Trading in firearms without being registered as a firearms dealer(Group II)
08109,8109.0,Selling firearm to person without a certificate (Group I)
08110,8110.0,Selling firearm to person without a certificate (Group II)
08111,8111.0,"Repairing, testing etc. firearm for person without a certificate (Group I)"
08112,8112.0,"Repairing, testing etc. firearm for person without a certificate (Group II)"
08113,8113.0,Falsifying certificate etc. with view to acquisition of firearm (Group I)
08114,8114.0,Falsifying certificate etc. with view to acquisition of firearm (Group II)
08115,8115.0,Shortening a shotgun or other smooth bore gun (Group I)
08116,8116.0,Conversion of firearms (Group I)
08117,8117.0,Possessing or distributing prohibited weapons or ammunition (Group I)
08126,8126.0,Carrying firearm in public place etc. (Group I)
08127,8127.0,Carrying loaded firearm in public place etc. (Group II)
08129,8129.0,Trespassing with firearm or imitation firearm in a building (Group I)
08130,8130.0,Trespassing with firearm or imitation firearm in a building (Group II)
08135,8135.0,Possession of firearms by persons previously convicted of crime (Group I)
08136,8136.0,Possession of firearms by persons previously convicted of crime (Group II)
08137,8137.0,Possession of firearms by persons previously convicted of crime (Group III)
08138,8138.0,Supplying firearms to person denied them under Section 21 (Group I).
08139,8139.0,Supplying firearms to person denied them under Section 21 (Group II).
08140,8140.0,Supplying firearms to person denied them under Section 21 (Group III)
08142,8142.0,Failure to transfer firearms or ammunition in person (Group I)
08143,8143.0,Failure to give notice in writing to the Chief Officer of Police of transfers involving firearms (Group I)
08144,8144.0,"Failure by certificate holder to notify in writing Chief Officer of Police of deactivation, destruction or loss of firearms or ammunition (Group I)"
08145,8145.0,"Failure by certificate holder to notify in writing Chief Officer of Police of events taking place outside Great Britain involving firearms and ammunition (sold or otherwise disposed of, lost etc) (Group I)"
08169,8169.0,Failure to comply with instructions in firearm certificate when transferring firearm to person other than registered dealer; failure to report transaction to police (Group I)
08170,8170.0,Possessing or distributing prohibited weapons designed for discharge of noxious liquid etc. (Group I)
08171,8171.0,Possessing or distributing firearm disguised as other object. (Group I)
08172,8172.0,Possessing or distributing other prohibited weapons
08173,8173.0,Offence in relation to the unlawful IMPORTATION of any weapon or ammunition of a kind mentioned in S.5(1)(a)(ab)(aba)(ac)(ad)(ae)(af) or (c) of the Firearms Act 1968
08174,8174.0,Offence in relation to the unlawful EXPORTATION of any weapon or ammunition of a kind mentioned in S.5(1)(a)(ab)(aba)(ac)(ad)(ae)(af) or (c) of the Firearms Act 1968
08176,8176.0,Selling or transferring an air weapon unlawfully
08177,8177.0,Carrying a loaded or unloaded or imitation firearm or air weapon in public place
08178,8178.0,"Knowingly being concerned in activity prohibited by Parts 2, 3 or 4 of the Order with intent to evade the relevant prohibition"
08181,8181.0,Import prohibited weapon / ammo
08182,8182.0,Export prohibited weapon / ammunition with intent to evade prohibition / restriction
08183,8183.0,Carry / remove / deposit etc. prohibited weapons / ammunition with intent to evade a prohibition / restriction
08184,8184.0,Knowingly concerned in fraudulent evasion of prohibition / restriction on prohibited weapon / ammunition
08185,8185.0,Manufacture weapon / ammunition specified in section 5(1) of the Firearms Act 1968
08186,8186.0,Sell / transfer prohibited weapon / ammunition
08187,8187.0,Possess prohibited weapon / ammunition for sale / transfer
08188,8188.0,Purchase / acquire prohibited weapon / ammunition for sale / transfer
08189,8189.0,Import / acquire / possess / use a regulated explosives precursor without a licence
08190,8190.0,Manufacture an offensive weapon (Reclassified). Possess article for use in connection with conversion of deactivated firearm.
08191,8191.0,Controls on defectively deactivated weapons; Make defectively deactivated weapon available for sale / gift ; Sell / give as gift defectively deactivated weapon
08200,8200.0,"Offences against laws relating to Customs, Excise and Inland Revenue    [Use this code only if you are unable to determine which subcoded Offence applies]"
08202,8202.0,"Offences against laws relating to Customs, Excise and Inland Revenue: Offences triable either way"
08203,8203.0,Fraudulent evasion of duty an offence in connection with a prohibition or restriction on the importation or exportation of any weapon or ammunition of a kind mentioned in S.5(1)(a)(ab)(aba)(ac)(ad)(ae)(af) or (c) of the Firearms Act 1968
08204,8204.0,Finance Act 1989 SS.182 & 182(A) Disclosing any information held in the exercise of tax or other function by authorised person
08300,8300.0,Offences relating to bail    [Use this code only if you are unable to determine which subcoded Offence applies]
08301,8301.0,Absconding by person released on bail
08302,8302.0,Agreeing to indemnify sureties in criminal proceedings
08303,8303.0,Acknowledging bail in false name
08305,8305.0,Remain unlawfully at large after recall to prison - Crime (Sentences) Act 1997
08306,8306.0,Remain unlawfully at large after recall to prison - Criminal Justice Act 2003
08400,8400.0,Trade Descriptions Act 1968 and similar offences    [Use this code only if you are unable to determine which subcoded Offence applies]
08401,8401.0,False trade descriptions
08402,8402.0,False or misleading indications as to price of goods and contravening regulations regarding price of goods
08403,8403.0,False or misleading statements as to services etc.
08404,8404.0,Misleading advertisements
08405,8405.0,"Price regulation, price marking and price range notices; restriction on disclosure of information"
08406,8406.0,"Furnishing false information in response to notice, or to enforcement officer"
08407,8407.0,Disclosing restricted information
08408,8408.0,Unauthorised use of trade mark etc. in relation to goods
08409,8409.0,"Offences triable either way; making for sale or hire, importing, possessing or distributing articles which infringe the copyright; making, importing or distributing illicit recordings."
08410,8410.0,Offences triable either way except those included in 84/09
08411,8411.0,Licences and certificates relating to medicinal products etc. (TEW offences). Issuing an advert likely to lead to use of a relevant medicinal product supplied by prescription only. TEW offences under Medicines (Advertising) Regulations 1994
08412,8412.0,Infringing copyright in a work by communicating the work to the public
08413,8413.0,Infringing a performer's making available right in the course of business or otherwise
08414,8414.0,Knowingly or recklessly engaging in commercial practice contravening R.3(3)(a) distorting behaviour of average consumer - Consumer Protection from Unfair Trading Regulations 2008
08415,8415.0,Engaging in commercial practice which is a misleading action under R.5 - Consumer Protection from Unfair Trading Regulations 2008
08416,8416.0,Engage in commercial practice which is a misleading omission under R.6 - Consumer Protection from Unfair Trading Regulations 2008
08417,8417.0,Engaging in commercial practice which is aggressive under R.7 - Consumer Protection from Unfair Trading Regulations 2008
08418,8418.0,"Engaging in commercial practice set out in any of Paras.1 to 10, 12 to 27 and 29 to 31 of Sch.1 - Consumer Protection from Unfair Trading Regulations 2008"
08419,8419.0,Intentionally obstructing officer of enforcement authority acting in pursuance of regulations
08420,8420.0,Falsification of records etc.
08421,8421.0,TEW offences under this regulation - Human Medicines Regulations 2012
08500,8500.0,Health and Safety at Work etc Act 1974    [Use this code only if you are unable to determine which subcoded Offence applies]
08501,8501.0,Neglect of safety at work
08502,8502.0,Contravening requirement imposed by inspector under S.20 or S.25 - Health and Safety at Work etc. Act 1974; preventing another person from appearing before an inspector or from answering an inspector's question; contravening an improvement or prohibition notice
08503,8503.0,Contravening any notice issued under S.27(1); disclosing information in breach of SS.27(4) or 28 - Health and Safety at Work etc. Act 1974
08504,8504.0,Offences relating to deception - Health and Safety at Work etc. Act 1974
08505,8505.0,Failure to comply with a court remedy order (S.42); an offence under the existing statutory provisions' for which no other penalty is specified - Health & Safety at Work etc. Act 1974. l
08506,8506.0,TEW offences under General Product Safety Regulations 2005
08507,8507.0,TEW offences under Regulatory Reform (Fire Safety) Order 2005
08508,8508.0,Contravening a requirement or prohibition imposed by an improvement or prohibitive notice
08509,8509.0,"Contravening requirements of asbestos related health and safety regulations, licences or authorisations"
08510,8510.0,TEW offences contrary to regulations under the Nutrition and Health Claims (England) Regulations 2007.
08600,8600.0,"Obscene Publications, etc and Protected Sexual Material    [Use this code only if you are unable to determine which subcoded Offence applies]"
08601,8601.0,Possessing obscene material for gain
08602,8602.0,"Taking, permitting to be taken or making, distributing or publishing indecent photographs or pseudo photographs of children"
08603,8603.0,Indecent matter publicly displayed
08604,8604.0,Supplying video recording of unclassified work
08605,8605.0,Possessing video recording of unclassified work for the purpose of supply
08606,8606.0,"Having protected material, or copy of it, in possession otherwise than while inspecting it etc."
08607,8607.0,"Giving or revealing protected material, or copy of it, to any other person"
08608,8608.0,"Having been given or shown protected material, giving a copy or otherwise to any person other than the defendant"
08609,8609.0,"Having been given or shown protected material, giving a copy or otherwise to the defendant when not meant to"
08610,8610.0,Possession of indecent photograph of a child
08611,8611.0,Possession of extreme pornographic images - an act which threatens a person's life
08612,8612.0,"Possession of extreme pornographic images - an act which results in or is likely to result in serious injury to a person's anus, breasts or genitals"
08613,8613.0,Possession of extreme pornographic images - an act which involves sexual interference with a human corpse (necrophilia)
08614,8614.0,Possession of extreme pornographic images - a person performing an act of intercourse or oral sex with an animal (whether dead or alive) (bestiality)
08615,8615.0,Possessing prohibited images of children
08616,8616.0,Possess an extreme pornographic image portraying rape
08617,8617.0,Possess an extreme pornographic image portraying assault by penetration
08700,8700.0,Protection from eviction    [Use this code only if you are unable to determine which subcoded Offence applies]
08701,8701.0,Unlawful eviction of occupier
08702,8702.0,Unlawful harassment of occupier
08703,8703.0,Protection of occupiers against eviction and harassment
08800,8800.0,Miscellaneous sexual offences    [Use this code only if you are unable to determine which subcoded Offence applies]
08801,8801.0,Meeting a female child following sexual grooming etc. (offender aged 18 or over and victim aged under 16)
08802,8802.0,Meeting a male child following sexual grooming etc. (offender aged 18 or over and victim aged under 16)
08803,8803.0,Intercourse with an animal by a male
08804,8804.0,Intercourse with an animal by a female
08805,8805.0,Administering a substance with intent
08806,8806.0,Committing an offence with intent to commit a sexual offence
08807,8807.0,Trespass with intent to commit a sexual offence
08808,8808.0,Sex in a public lavatory
08809,8809.0,Exposure
08810,8810.0,Voyeurism
08811,8811.0,Sexual penetration of a corpse
08812,8812.0,Voyeurism operating equipment or recording image beneath the clothing of another person ('upskirting')
08900,8900.0,Adulteration of food    [Use this code only if you are unable to determine which subcoded Offence applies]
08901,8901.0,General protection of the public against injurious food and drug products
08902,8902.0,Adulteration etc of milk products
08903,8903.0,Contravention of order relating to the particulars of certain food ingredients
08904,8904.0,Rendering food injurious to health
08905,8905.0,Selling food not complying with food safety requirements
08906,8906.0,Selling food not of the nature or substance or quality demanded
08907,8907.0,Falsely describing or presenting food
08908,8908.0,Obstruction etc. of officers; furnishing false information
08909,8909.0,Contravening or failing to comply with specified Community provision referred to in Part 1 of the Schedule - Genetically Modified Animal Feed (England) Regulations 2004 SI 2334/2004
08910,8910.0,Contravening or failing to comply with specified Community provision referred to in Part 1 of the Schedule - Genetically Modified Animal Feed (England) Regulations 2004 SI 2335/2004
08911,8911.0,TEW offences under these Regulations - Fresh Meat (Hygiene and Inspection) Regulations 1995
08912,8912.0,TEW offences - Plastic Materials and Articles in Contact with Food (England) (No.2) Regulations 2006
08913,8913.0,"Contrary to regulations under the Animal Feed (Hygiene, Sampling etc. and Enforcement) (England) Regulations 2015"
09000,9000.0,Knives Act 1997 and other related Offensive Weapons Acts and Regulations not dealt with elsewhere    [Use this code only if you are unable to determine which subcoded Offence applies]
09001,9001.0,Unlawful marketing of knives (selling or hiring)
09002,9002.0,Unlawful marketing of knives (offering or exposing to sell or hire)
09003,9003.0,Unlawful marketing of knives - having in possession for the purpose of sale or hire
09004,9004.0,"Publication of any written, pictorial or other material in connection with the marketing of any knife - the material suggesting/indicating knife suitable for combat"
09005,9005.0,"Publication of any written, pictorial or other material in connection with the marketing of any knife - the material is otherwise likely to stimulate or encourage violent behaviour involving use of the knife as a weapon"
09100,9100.0,Public Health    [Use this code only if you are unable to determine which subcoded Offence applies]
09101,9101.0,Public Health Offences as related to food and drugs
09102,9102.0,Hygiene offences in connection with sale etc. of food to the public
09106,9106.0,Contravention of regulations with respect to certain dangerous or intractable waste
09107,9107.0,Carrying on a process without authority or not complying with conditions of granted authority
09108,9108.0,Transfer of authorisation; failing to notify authority
09109,9109.0,Failing to comply with or contravening any enforcement or prohibition notice
09110,9110.0,Failing without reasonable excuse to provide any information required by an authority in a notice under Section 19(2) - Environmental Protection Act 1990
09111,9111.0,Making a statement known to be materially false or misleading or recklessly making a statement which is materially false or misleading in compliance with a requirement under Part I of the Act or in order to obtain authorisation or variation of authorisation for oneself or any other person - Environmental Protection Act 1990
09112,9112.0,Intentionally making a false entry in any record required under Section 7 - Environmental Protection Act 1990
09113,9113.0,Intentionally deceiving by forgery or using a document issued under Section 7 - Environmental Protection Act 1990
09114,9114.0,Failing to comply with an order issued under Section 26 - Environmental Protection Act 1990
09115,9115.0,"Depositing, causing the deposition or permitting the deposition treating, keeping or disposing of controlled (but not special) waste in or on land without a licence"
09116,9116.0,"Depositing, causing the deposition or permitting the deposition of controlled special waste in or on land without a licence"
09117,9117.0,"Handling, controlling or transferring controlled waste without taking reasonable measures; failure to comply with the requirements of the Secretary of State; failure to take such measures as available to secure transfer of household waste to authorised person or persons authorised for transport purposes"
09118,9118.0,"Licence-holder failing to comply with requirements of Waste Regulating Authority, otherwise than in relation to special waste, when suspending a licence to deal with or avert pollution or harm"
09119,9119.0,"Licence-holder failing to comply with requirements of Waste Regulating Authority, in relation to special waste, when suspending a licence to deal with or avert pollution or harm."
09120,9120.0,Making a false statement in an application concerning a licence
09121,9121.0,Contravening regulations made under Section 62 controlling special waste - Environmental Protection Act 1990
09122,9122.0,Depositing waste (not controlled waste) in an area prescribed by the Secretary of State
09125,9125.0,"Importing, acquiring, keeping releasing or marketing any genetically modified organisms without carrying out a risk assessment and giving prescribed notice and information to the Secretary of State"
09126,9126.0,"Importing, acquiring, releasing or marketing any genetically modified organisms in certain cases or circumstances or without consent. Failing to dispose of organisms quickly and safely when required"
09127,9127.0,"Failing to identify risks of importing or acquiring genetically modified organisms, importing or acquiring modified organisms despite the risks, not taking all reasonable steps to prevent risk of damage to the environment as a result of keeping modified organisms. Releasing or marketing modified organisms without regard to the risks of damage to the environment"
09128,9128.0,Failing to keep a record of a risk assessment or failing to give the Secretary of State further information
09129,9129.0,Contravening a prohibition notice - Environmental Protection Act 1990
09130,9130.0,Obstructing an inspector where he believes imminent danger is involved - Environmental Protection Act 1990
09131,9131.0,Failing to comply with any requirement to provide relevant information - Environmental Protection Act 1990
09132,9132.0,Making a false statement - Environmental Protection Act 1990
09133,9133.0,Making a false entry in any required record - Environmental Protection Act 1990
09134,9134.0,"Forging, using, making or processing a document purporting to have been issued under Section 111 - Environmental Protection Act 1990"
09135,9135.0,"Contravening regulations made to control the import, use, supply and storage of any specified injurious substance or article"
09136,9136.0,Contravening regulations made to prohibit or restrict the import or export of waste
09137,9137.0,Contravening conditions of a waste management licence
09138,9138.0,"Obstructing an inspector exercising his powers to seize, render harmless or take samples from an article or substance believed to be a cause of imminent danger to the environment or serious harm to human health"
09139,9139.0,Failing without reasonable excuse to provide any information required by a waste regulation authority or the Secretary of State
09140,9140.0,Failing to comply with a notice or failing to furnish information or furnishing false information
09141,9141.0,Obstructing an authorised person in the execution of his powers.
09142,9142.0,Failure to comply with the Regulations - Special Waste Regulations 1996
09143,9143.0,Restriction on disclosure of information obtained under Section 23(2) etc. - Health Act 1999
09144,9144.0,Publishing or causing to be published a tobacco advertisement
09145,9145.0,Printing devising or distributing a tobacco advertisement in UK
09146,9146.0,"Commissioning or selling a tobacco advertisement in newspapers, periodicals etc."
09147,9147.0,Displaying or causing to be displayed tobacco products if the display does not comply with any requirements as may be specified in regulations made under this Section - Tobacco Advertising and Promotion Act 2002 SS.8 & 16(2)
09148,9148.0,Giving or causing or permitting any product or coupon to be given to the public in the UK which promotes a tobacco product
09149,9149.0,Prohibition of any sponsorship promoting a tobacco product
09150,9150.0,Prohibition or restriction of brandsharing / brandstretching - regulations made under this Section
09151,9151.0,Pollution of controlled water
09152,9152.0,"Contravention of Regulations 4, 5, 6, or 7 - Environmental Protection (Controls on Dangerous Substances) Regulations 2003 (SI 3274/2003) R.8"
09153,9153.0,Contravention of Regulations - The Greenhouse Gas Emissions Trading Scheme Regulations 2003 (SI 3311/2003) R.32
09154,9154.0,"TEW offences created by Regulations made under SS.6 & 7 - Water and Emissions Trading Act 2003 S.8(1), (2b), (4), (5) & (6)"
09155,9155.0,"TEW offences made under these Regulations - Animal By-Products Regulations 2005. Obstructing person acting in execution of the regulations, Triable either way offences - Animal By-Products (Identification) Regulations 1995"
09156,9156.0,Without appropriate consent carrying out a S.1 activity in relation to human organ or tissue - Human Tissue Act 2004
09157,9157.0,Falsely representing that consent given or did not apply for a S.1 activity in relation to a human organ or tissue - Human Tissue Act 2004
09158,9158.0,Carried out an activity in relation to organ or tissue to which S.1(2) applies without a signed certificate - Human Tissue Act 2004
09159,9159.0,Prohibition of commercial dealings in human material for transplantation
09160,9160.0,Breach of licence requirement in contravention of S.16(1) - Human Tissue Act 2004
09161,9161.0,Possession of anatomical specimens other than on licensed premises
09162,9162.0,Possession of former anatomical specimens other than on licensed premises
09163,9163.0,Non-consensual analyses of DNA
09164,9164.0,Prohibition on the placing on the market and use of nonylphenol and nonylphenol ethoxylate
09165,9165.0,Offences relating to the sale and supply of starting materials for use in the manufacture of relevant medicinal products
09166,9166.0,TEW offences made under the Food Hygene (England) Regulations 2006. TEW offences made under the Food Hygiene (Wales) Regulations 2006
09167,9167.0,TEW regulations made under this order - Merchant Shipping (Pollution) Act 2006
09168,9168.0,Using or storing donated material not for qualifying purposes - The Human Tissue Act 2004
09169,9169.0,All offences made under these regulations Animal and Animal Products Regulations 1997
09170,9170.0,TEW offences under the Pollution Prevention and Control Regulations (England and Wales) Order 2000
09171,9171.0,TEW offences under the Veterinary Medicines Regulations 2005. TEW offences made under the Veterinary Medicines Regulations 2011
09172,9172.0,Breach of regulations under Foot and Mouth Disease (Export Restrictions) (England) Regulations 2007 R.21
09173,9173.0,Breach of regulations under Import and Export Restrictions (Foot and Mouth Disease) (Wales) Regulations 2007
09174,9174.0,Contravening and failing to comply etc with the requirements of an environmental permit
09175,9175.0,"Failure to comply with notice, misleading or intentionally making false entry in record or intent to deceive re environmental permit"
09176,9176.0,"TEW offences under the Transfrontier Shipment of Waste Regulations 2007 RR.17 - 44, 52 - 54 & Sch.6 P.6(2) & (3)"
09177,9177.0,TEW offences under the Swine Vesicular Disease Regulations 2009
09178,9178.0,Restriction on the placing on the market or use of dangerous substances and preparations
09179,9179.0,Service provider doing an act abroad which would be an offence if done in UK - Tobacco Advertising and Promotion Act 2002
09180,9180.0,Proprietor or editor of information society service publishing tobacco advertisement.
09181,9181.0,Procuring inclusion of tobacco advertisement in information society service.
09182,9182.0,TEW offences under these regulations - Medicines for Human Use (Clinical Trials) Regulations 2004
09183,9183.0,"Failure to comply with animal by-product requirements or intentionally obstruct, fail to give information/ documentation/ facilities to an authorised person"
09184,9184.0,TEW offences under these regulations
09185,9185.0,TEW offences contrary to regulations under the Tobacco and Related Products Regulations 2016 and section 2(2) of the European Communities Act 1972. (These regulations include e-cigarettes)
09200,9200.0,Misuse of Drugs    [Use this code only if you are unable to determine which subcoded Offence applies]
09201,9201.0,Offence in relation to the unlawful IMPORTATION of a drug controlled under Misuse of Drugs Act 1971 - Other Class
09202,9202.0,Offence in relation to the unlawful EXPORTATION of a drug controlled under Misuse of Drugs Act 1971 - Other Class
09203,9203.0,Offences in relation to the unlawful IMPORTATION of a drug controlled under the Misuse of Drugs Act 1971: - Class A
09204,9204.0,Offences in relation to the unlawful IMPORTATION of a drug controlled under the Misuse of Drugs Act 1971: - Class B
